municipio,ano,num_cons_residencial,kWh_residencial,num_cons_comercial,kWh_comercial,num_cons_rural,kWh_rural,num_cons_industrial,kWh_industrial,num_cons_iluminacao_publica,kWh_iluminacao_publica,num_cons_poder_publico,kWh_poder_publico,num_cons_servico_publico,kWh_servico_publico,num_cons_consumo_proprio,kWh_consumo_proprio,num_cons_total,kWh_total
Araçariguama,2024,9505,22581169,391,25197739,26,171035,105,458049252,14,2011939,91,1959315,18,2148913,4,41896,10154,512161259
Araçoiaba da Serra,2024,22458,54668522,617,12784901,330,4214423,55,11086859,18,4145362,158,1517171,29,4814890,1,9064,23666,93241192
Boituva,2024,32668,82322576,32668,27999876,334,28286350,183,150014450,45,6070098,240,2470655,26,5237893,6,74872,66170,302476770
Capela do Alto,2024,9855,20367918,239,2644776,212,6104447,28,5339189,21,1734485,76,2369353,26,3430587,0,0,10457,41990754
Cerquilho,2024,19272,41754046,1634,17304555,512,4896785,292,109546716,42,4824207,143,2220243,17,4794719,1,49833,21913,185391104
Cesário Lange,2024,7565,14309192,721,18741785,921,7051013,79,17673898,15,1276382,101,924651,29,3255136,2,62945,9433,63295002
Ibiúna,2024,19167,43956751,953,19728816,424,7674292,43,37424328,8,2722011,122,1600761,24,150303648,3,62307,20744,263472915
Iperó,2024,12861,29941543,277,9173235,147,1531331,72,34140686,4,2143297,152,13985662,32,3288645,0,0,13545,94204400
Itapetininga,2024,67522,146776674,2919,58101100,1573,32086100,180,331985969,9,9468377,416,7705692,73,19479204,11,191828,72703,605794945
Itu,2024,72513,213819599,4118,123728963,306,13354029,417,278577607,115,10422856,422,9519754,100,15231497,4,157284,77995,664811589
Jumirim,2024,1093,2266487,66,510180,227,5521778,39,15517238,7,261700,33,432134,8,443492,0,0,1473,24953010
Mairinque,2024,21358,49707799,585,9572372,82,1039366,61,76595351,5,3830013,103,1278343,39,4636339,1,21176,22234,146680759
Piedade,2024,20417,35383820,1834,15492432,5361,33337064,100,6961576,15,2209731,173,1508939,44,4173075,3,117438,27947,99184075
Pilar do Sul,2024,12012,20312946,1014,10075026,1420,7327473,73,5641597,20,1829506,88,918637,30,1524031,2,34643,14659,47663859
Porto Feliz,2024,23718,79815766,1280,39789638,1200,16969849,137,161155384,55,4045031,228,4684548,38,5195624,3,113572,26659,311769412
Salto,2024,60513,157845746,2385,56762286,98,3127977,340,438186185,158,10145437,232,2309624,59,12639373,5,168715,63790,681185342
Salto de Pirapora,2024,21665,45548506,538,11150538,127,1153537,63,370601106,24,3675163,144,1505223,34,4297415,1,5633,22596,437937120
São Miguel Arcanjo,2024,11437,22231993,654,5443256,2090,12134572,46,2260328,31,2561955,134,1005014,35,2664098,4,36538,14431,48337753
São Roque,2024,37146,92753753,1511,57310660,363,3824955,170,57595165,29,11214138,276,4068933,65,9540649,4,95732,39564,236403985
Sarapuí,2024,5011,9262503,162,1311953,468,5055887,21,8786056,1,962445,59,383803,21,1311430,3,21436,5746,27095513
Sorocaba,2024,326343,825847560,15287,490512495,257,5094131,1236,930186524,335,47733570,1027,28550875,124,66001868,29,745116,344638,2394672138
Tapiraí,2024,3273,5252056,256,3565538,484,1434967,21,770265,4,624094,61,420260,15,689650,3,59813,4117,12816643
Tatuí,2024,54260,108599843,3906,63414075,1919,18307392,372,228235739,65,7986128,287,4433960,57,17836313,4,203903,60870,449017353
Tietê,2024,15263,32992028,1652,18803500,861,15435642,321,118765784,39,3983050,175,1792018,59,7058772,2,26146,18372,198856941
Votorantim,2024,53153,129137113,53153,45507622,23,266570,131,299676664,80,10352052,236,5669982,59,12688431,5,120016,106840,503418451
Americana,2024,114187,298073888,7624,146136687,18,223639,971,732053108,126,13306399,547,12559868,62,36033963,13,363649,123548,1238751202
Campinas,2024,490729,1267769850,35845,1237972041,720,13663597,1851,609866012,127,96126513,2187,141811792,196,25888768,50,9814712,531705,3402913285
Cosmópolis,2024,24997,58019049,1042,13803973,102,1014399,77,98203121,20,2223959,162,2049473,9,5133427,1,38089,26410,180485489
Elias Fausto,2024,6686,17885659,246,5116548,311,4236483,77,68816837,5,1575016,93,932820,20,1552103,1,7553,7439,100123019
Holambra,2024,5408,18648021,776,14595922,409,33169007,27,3099059,54,2509882,100,1233256,8,1279981,2,6063,6784,74541191
Hortolândia,2024,100939,241412665,3354,366392311,29,298025,251,180857985,190,6253892,299,8366869,28,12462372,3,93544,105093,816137663
Indaiatuba,2024,114908,339082079,5740,191785503,539,9681952,937,437660416,368,27764978,494,13291146,77,40358872,12,617637,123075,1060242583
Jaguariúna,2024,26271,74481651,1702,53678384,251,3387243,172,297345129,29,8627080,175,3673806,49,11226061,8,246254,28657,452665608
Monte Mor,2024,29270,69989376,770,18454271,275,5610286,96,105188792,35,5792121,140,2143247,32,4602727,3,40997,30621,211821817
Nova Odessa,2024,29327,73043305,1318,37443783,58,1051265,299,292614623,39,7578596,188,4319105,15,6247667,2,110358,31246,422408702
Paulínia,2024,49344,143255543,2588,199953921,73,1454100,221,1141098396,14,7115983,637,17408343,57,51935685,4,96006,52938,1562317978
Pedreira,2024,18446,47889758,1155,20113090,122,1782347,320,130143102,9,3497421,204,5835245,42,3194793,2,30086,20300,212485843
